2026-08-11 16:13:47,958 [INFO] __main__: [427/1439] 301280.SZ: fetched=63, saved=63, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:48,346 [INFO] __main__: [428/1439] 301282.SZ: fetched=461, saved=460, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:48,451 [INFO] __main__: [429/1439] 301285.SZ: fetched=5, saved=5, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:48,951 [INFO] __main__: [430/1439] 301286.SZ: fetched=136, saved=134, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:49,125 [INFO] __main__: [431/1439] 301290.SZ: fetched=149, saved=149, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 16分
2026-08-11 16:13:49,969 [INFO] __main__: [432/1439] 301292.SZ: fetched=253, saved=249, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:13:50,098 [INFO] __main__: [433/1439] 301297.SZ: fetched=211, saved=74, filtered=137, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:13:50,332 [INFO] __main__: [434/1439] 301302.SZ: fetched=282, saved=282, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:13:50,479 [INFO] __main__: [435/1439] 301303.SZ: fetched=82, saved=80, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:13:50,583 [INFO] __main__: [436/1439] 301306.SZ: fetched=58, saved=58, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:51,174 [INFO] __main__: [437/1439] 301308.SZ: fetched=609, saved=608, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:51,396 [INFO] __main__: [438/1439] 301310.SZ: fetched=185, saved=184, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:52,345 [INFO] __main__: [439/1439] 301311.SZ: fetched=289, saved=286, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:52,924 [INFO] __main__: [440/1439] 301312.SZ: fetched=210, saved=168, filtered=39, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:53,155 [INFO] __main__: [441/1439] 301313.SZ: fetched=59, saved=56, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:53,351 [INFO] __main__: [442/1439] 301315.SZ: fetched=149, saved=145, filtered=2, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:53,486 [INFO] __main__: [443/1439] 301320.SZ: fetched=64, saved=63, filtered=1, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:53,612 [INFO] __main__: [444/1439] 301323.SZ: fetched=87, saved=87, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:13:53,880 [INFO] __main__: [445/1439] 301325.SZ: fetched=257, saved=257, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分

Process running. session_id: 83aacd5a0bb4
Elapsed: 404.5s
Wait target not observed: '回补完成!'
