2026-08-11 16:23:54,047 [INFO] __main__: [483/795] 688102.SH: fetched=173, saved=173, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:56,374 [INFO] __main__: [484/795] 688103.SH: fetched=316, saved=133, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:57,238 [INFO] __main__: [485/795] 688106.SH: fetched=1000, saved=13, filtered=191, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:57,335 [INFO] __main__: [486/795] 688107.SH: fetched=71, saved=61, filtered=10, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:57,707 [INFO] __main__: [487/795] 688109.SH: fetched=8, saved=8, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:58,039 [INFO] __main__: [488/795] 688110.SH: fetched=1000, saved=17, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:58,147 [INFO] __main__: [489/795] 688113.SH: fetched=63, saved=63, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:58,265 [INFO] __main__: [490/795] 688114.SH: fetched=41, saved=17, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:58,364 [INFO] __main__: [491/795] 688115.SH: fetched=10, saved=10, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:58,720 [INFO] __main__: [492/795] 688116.SH: fetched=420, saved=319, filtered=1, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:58,834 [INFO] __main__: [493/795] 688118.SH: fetched=95, saved=95, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 4分
2026-08-11 16:23:58,906 [INFO] __main__: [494/795] 688119.SH: fetched=61, saved=37, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 4分
2026-08-11 16:23:59,047 [INFO] __main__: [495/795] 688120.SH: fetched=120, saved=89, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 4分
2026-08-11 16:23:59,106 [INFO] __main__: [496/795] 688122.SH: fetched=12, saved=12, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 4分

Process running. session_id: 2f7d83535964
Elapsed: 404.3s
Wait target not observed: '回补完成!'
