2026-08-11 16:09:33,957 [INFO] __main__: [150/1439] 300578.SZ: fetched=200, saved=198, filtered=1, err=0 | 进度: 63只/分, 预计剩余: 20分
2026-08-11 16:09:35,183 [INFO] __main__: [151/1439] 300580.SZ: fetched=68, saved=62, filtered=4, err=0 | 进度: 63只/分, 预计剩余: 20分
2026-08-11 16:09:35,317 [INFO] __main__: [152/1439] 300581.SZ: fetched=132, saved=59, filtered=73, err=0 | 进度: 63只/分, 预计剩余: 20分
2026-08-11 16:09:35,438 [INFO] __main__: [153/1439] 300584.SZ: fetched=83, saved=83, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 20分
2026-08-11 16:09:35,536 [INFO] __main__: [154/1439] 300585.SZ: fetched=80, saved=80, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 20分
2026-08-11 16:09:35,722 [INFO] __main__: [155/1439] 300586.SZ: fetched=202, saved=131, filtered=70, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:35,862 [INFO] __main__: [156/1439] 300587.SZ: fetched=136, saved=136, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:35,989 [INFO] __main__: [157/1439] 300589.SZ: fetched=141, saved=102, filtered=39, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:37,807 [INFO] __main__: [158/1439] 300591.SZ: fetched=72, saved=72, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:39,139 [INFO] __main__: [159/1439] 300593.SZ: fetched=458, saved=455, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 20分
2026-08-11 16:09:39,295 [INFO] __main__: [160/1439] 300597.SZ: fetched=195, saved=110, filtered=84, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:39,625 [INFO] __main__: [161/1439] 300598.SZ: fetched=37, saved=37, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:40,861 [INFO] __main__: [162/1439] 300600.SZ: fetched=117, saved=117, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:42,109 [INFO] __main__: [163/1439] 300602.SZ: fetched=382, saved=380, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:42,334 [INFO] __main__: [164/1439] 300604.SZ: fetched=82, saved=80, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:43,197 [INFO] __main__: [165/1439] 300606.SZ: fetched=57, saved=56, filtered=1, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:44,391 [INFO] __main__: [166/1439] 300607.SZ: fetched=171, saved=170, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 20分
2026-08-11 16:09:45,674 [INFO] __main__: [167/1439] 300608.SZ: fetched=229, saved=227, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 20分

Process running. session_id: 83aacd5a0bb4
Elapsed: 155.4s
Wait target not observed: '回补完成!'
